term,normalized_term,domain,domain_score,second_domain,second_domain_score,score_margin,confidence,assignment_method,matched_keywords,matched_strong_keywords,reason,table_count,total_occurrences,matched_override_rules
Final consumption expenditure,final consumption expenditure,Economy and national accounts,0.119074,Energy,0.059923,0.05915,medium,tfidf_and_keywords,expenditure,,Best profile: Economy and national accounts; score=0.1191; margin=0.0592; keywords=expenditure,5,18,
Adjusted gross disposable income of households per capita in PPS,adjusted gross disposable income of households per capita in pps,Economy and national accounts,0.118615,"Income, poverty and living conditions",0.034285,0.08433,medium,tfidf_and_keywords,income,,Best profile: Economy and national accounts; score=0.1186; margin=0.0843; keywords=income,1,1,
Expenditure on social protection,expenditure on social protection,Economy and national accounts,0.11741,"Income, poverty and living conditions",0.060227,0.057183,medium,tfidf_and_keywords,expenditure,,Best profile: Economy and national accounts; score=0.1174; margin=0.0572; keywords=expenditure,1,1,
Other expenditure on social protection,other expenditure on social protection,Economy and national accounts,0.11741,"Income, poverty and living conditions",0.060227,0.057183,medium,tfidf_and_keywords,expenditure,,Best profile: Economy and national accounts; score=0.1174; margin=0.0572; keywords=expenditure,1,1,
Median equivalised income,median equivalised income,Economy and national accounts,0.114555,"Income, poverty and living conditions",0.062324,0.052232,medium,tfidf_and_keywords,income,,Best profile: Economy and national accounts; score=0.1146; margin=0.0522; keywords=income,10,2382,
Final consumption expenditure of households and NPISH current prices,final consumption expenditure of households and npish current prices,Economy and national accounts,0.11432,Energy,0.046986,0.067334,medium,tfidf_and_keywords,expenditure,,Best profile: Economy and national accounts; score=0.1143; margin=0.0673; keywords=expenditure,1,1,
Average expenditure per night,average expenditure per night,Economy and national accounts,0.11265,Government and public finance,0.045943,0.066707,medium,tfidf_and_keywords,expenditure,,Best profile: Economy and national accounts; score=0.1126; margin=0.0667; keywords=expenditure,1,1,
Average expenditure per trip,average expenditure per trip,Economy and national accounts,0.112099,Government and public finance,0.045168,0.066931,medium,tfidf_and_keywords,expenditure,,Best profile: Economy and national accounts; score=0.1121; margin=0.0669; keywords=expenditure,1,1,
Total expenditure on social benefits,total expenditure on social benefits,Economy and national accounts,0.11088,"Income, poverty and living conditions",0.049715,0.061166,medium,tfidf_and_keywords,expenditure,,Best profile: Economy and national accounts; score=0.1109; margin=0.0612; keywords=expenditure,1,1,
Investment rate of non-financial corporations,investment rate of non-financial corporations,Economy and national accounts,0.109234,Demography and population,0.01585,0.093384,medium,tfidf_and_keywords,investment,,Best profile: Economy and national accounts; score=0.1092; margin=0.0934; keywords=investment,1,1,
Expenditure on social protection per inhabitant,expenditure on social protection per inhabitant,Economy and national accounts,0.108879,"Income, poverty and living conditions",0.046493,0.062386,medium,tfidf_and_keywords,expenditure,,Best profile: Economy and national accounts; score=0.1089; margin=0.0624; keywords=expenditure,1,1,
Investment by institutional sectors,investment by institutional sectors,Economy and national accounts,0.107744,Housing and construction,0.0,0.107744,medium,tfidf_and_keywords,investment,,Best profile: Economy and national accounts; score=0.1077; margin=0.1077; keywords=investment,1,1,
Total expenditure on administration costs,total expenditure on administration costs,Economy and national accounts,0.107723,Government and public finance,0.102506,0.005217,low,tfidf_and_keywords,expenditure,,Best profile: Economy and national accounts; score=0.1077; margin=0.0052; keywords=expenditure,1,1,
Total expenditure on social protection by type,total expenditure on social protection by type,Economy and national accounts,0.107549,"Income, poverty and living conditions",0.044352,0.063197,medium,tfidf_and_keywords,expenditure,,Best profile: Economy and national accounts; score=0.1075; margin=0.0632; keywords=expenditure,1,1,
Median saving rate by income quintile - experimental statistics,median saving rate by income quintile - experimental statistics,Economy and national accounts,0.107497,"Income, poverty and living conditions",0.045145,0.062352,medium,tfidf_and_keywords,income,,Best profile: Economy and national accounts; score=0.1075; margin=0.0624; keywords=income,1,1,
Persons reporting basic activity difficulty by sex age level of difficulty and income quintile,persons reporting basic activity difficulty by sex age level of difficulty and income quintile,Economy and national accounts,0.104818,"Income, poverty and living conditions",0.028784,0.076034,medium,tfidf_and_keywords,income,,Best profile: Economy and national accounts; score=0.1048; margin=0.0760; keywords=income,1,1,
Mean consumption expenditure by number of active persons,mean consumption expenditure by number of active persons,Economy and national accounts,0.103703,Energy,0.036351,0.067352,medium,tfidf_and_keywords,expenditure,,Best profile: Economy and national accounts; score=0.1037; margin=0.0674; keywords=expenditure,1,1,
Final consumption expenditure of households and NPISH volumes,final consumption expenditure of households and npish volumes,Economy and national accounts,0.103157,Energy,0.035513,0.067643,medium,tfidf_and_keywords,expenditure,,Best profile: Economy and national accounts; score=0.1032; margin=0.0676; keywords=expenditure,1,1,
Gini coefficient of equivalised disposable income,gini coefficient of equivalised disposable income,Economy and national accounts,0.103115,"Income, poverty and living conditions",0.041689,0.061425,medium,tfidf_and_keywords,income,,Best profile: Economy and national accounts; score=0.1031; margin=0.0614; keywords=income,1,1,
Income quintile share ratio - S80/S20,income quintile share ratio - s80/s20,Economy and national accounts,0.10266,"Income, poverty and living conditions",0.04087,0.06179,medium,tfidf_and_keywords,income,,Best profile: Economy and national accounts; score=0.1027; margin=0.0618; keywords=income,2,2,
Mean consumption expenditure per household and per adult equivalent,mean consumption expenditure per household and per adult equivalent,Economy and national accounts,0.102071,"Income, poverty and living conditions",0.03617,0.065902,medium,tfidf_and_keywords,expenditure,,Best profile: Economy and national accounts; score=0.1021; margin=0.0659; keywords=expenditure,1,1,
Domestic producer prices - consumer durables,domestic producer prices - consumer durables,Economy and national accounts,0.101979,Housing and construction,0.027976,0.074003,medium,tfidf,,,Best profile: Economy and national accounts; score=0.1020; margin=0.0740,1,1,
Intramural R&D expenditure GERD by source of funds,intramural r&d expenditure gerd by source of funds,Economy and national accounts,0.101838,Government and public finance,0.030729,0.071109,medium,tfidf_and_keywords,expenditure,,Best profile: Economy and national accounts; score=0.1018; margin=0.0711; keywords=expenditure,1,1,
Income in real terms SILC=100,income in real terms silc=100,Economy and national accounts,0.101547,"Income, poverty and living conditions",0.038863,0.062685,medium,tfidf_and_keywords,income,,Best profile: Economy and national accounts; score=0.1015; margin=0.0627; keywords=income,1,1,
Total intra-mural R & D expenditure - million euro,total intra-mural r & d expenditure - million euro,Economy and national accounts,0.101494,Government and public finance,0.030245,0.071249,medium,tfidf_and_keywords,expenditure,,Best profile: Economy and national accounts; score=0.1015; margin=0.0712; keywords=expenditure,2,48,
Gini coefficient of equivalised disposable income by age,gini coefficient of equivalised disposable income by age,Economy and national accounts,0.101035,"Income, poverty and living conditions",0.037938,0.063097,medium,tfidf_and_keywords,income,,Best profile: Economy and national accounts; score=0.1010; margin=0.0631; keywords=income,1,1,
Coefficient of variation of volume indices of expenditure per capita,coefficient of variation of volume indices of expenditure per capita,Economy and national accounts,0.100849,Government and public finance,0.029338,0.071512,medium,tfidf_and_keywords,expenditure,,Best profile: Economy and national accounts; score=0.1008; margin=0.0715; keywords=expenditure,2,45,
Income quintile share ratio S80/S20 by sex,income quintile share ratio s80/s20 by sex,Economy and national accounts,0.100708,"Income, poverty and living conditions",0.037349,0.063359,medium,tfidf_and_keywords,income,,Best profile: Economy and national accounts; score=0.1007; margin=0.0634; keywords=income,1,1,
Net international investment position - annual data,net international investment position - annual data,Economy and national accounts,0.100634,"Business, industry and trade",0.047028,0.053605,medium,tfidf_and_keywords,investment,,Best profile: Economy and national accounts; score=0.1006; margin=0.0536; keywords=investment,1,1,
Current depressive symptoms by sex age and income quintile,current depressive symptoms by sex age and income quintile,Economy and national accounts,0.100181,"Income, poverty and living conditions",0.036398,0.063783,medium,tfidf_and_keywords,income,,Best profile: Economy and national accounts; score=0.1002; margin=0.0638; keywords=income,1,1,
Median relative income of elderly people - EU-SILC survey,median relative income of elderly people - eu-silc survey,Economy and national accounts,0.100132,"Income, poverty and living conditions",0.03631,0.063822,medium,tfidf_and_keywords,income,,Best profile: Economy and national accounts; score=0.1001; margin=0.0638; keywords=income,1,1,
Persons not participating in cultural or sport activities in the last 12 months by income quintile household composition degree of urbanisation activity type and reasons,persons not participating in cultural or sport activities in the last 12 months by income quintile household composition degree of urbanisation activity type and reasons,Economy and national accounts,0.100054,"Income, poverty and living conditions",0.046377,0.053676,medium,tfidf_and_keywords,income,,Best profile: Economy and national accounts; score=0.1001; margin=0.0537; keywords=income,1,1,
Daily smokers of cigarettes by sex age and income quintile,daily smokers of cigarettes by sex age and income quintile,Economy and national accounts,0.099775,"Income, poverty and living conditions",0.035666,0.064109,medium,tfidf_and_keywords,income,,Best profile: Economy and national accounts; score=0.0998; margin=0.0641; keywords=income,2,2,
